"","x"
"1159",362453.319595405
"1165",3035633.01736025
"1180",817926.689019096
"1182",370304.886977101
"1188",563059.046386792
"1190",271611.413703792
"1198",242705.466548158
"1206",430257.771675445
"1209",921101.513641863
"1214",210746.731795309
"1216",473085.188067897
"1221",682455.737566532
"1222",397966.595351674
"1226",297828.158486476
"1229",682662.158512518
"1233",412946.775733535
"1237",175969.487367872
"1238",392702.986338341
"1239",547476.662143889
"1241",676935.699753501
"1245",785403.276669783
"1253",520245.289785768
"1261",632917.304331465
"1265",392619.301016712
"1266",406778.321282442
"1267",506857.721260205
"1269",365141.457033408
"1280",286358.899875683
"1284",363767.954234502
"1288",413416.98218588
"1291",430398.947696941
"1304",490037.249229642
"1307",648764.618275836
"1314",211040.555855875
"1315",490769.138099083
"1324",246370.300634732
"1327",616679.336480032
"1337",506511.320816102
"1350",465459.753070357
"1354",601645.047580866
"1356",933082.567356239
"1358",697690.152698212
"1360",651327.005218828
"1362",2066391.54430693
"1371",149545.294364595
"1373",394076.175149571
"1376",304385.223765536
"1380",667045.987498968
"1393",263787.57877784
"1395",555423.834617415
"1401",318619.332151604
"1402",242973.22878651
"1414",828458.34427295
"1419",416154.950511116
"1420",361277.34034897
"1421",1693791.48450114
"1422",354263.374272094
"1432",590432.796478306
"1436",323144.404825484
"1447",628952.033769871
"1448",246469.365564344
"1449",2779348.99705926
"1454",165667.186135818
"1456",323758.362560181
"1472",1273018.15298569
"1490",507104.280432697
"1496",514102.122199387
"1512",272586.423362562
"1515",453723.695794585
"1516",605710.83767026
"1517",282059.067815142
"1528",704490.835534925
"1540",1424949.60231606
"1543",504846.579300637
"1550",679201.683148199
"1554",243162.672270261
"1560",651234.001666053
"1563",649036.874187298
"1577",168225.126911452
"1579",631233.87368744
"1580",509389.721992386
"1581",376673.800721215
"1586",210944.41271786
"1587",1319339.12629196
"1592",528732.082482681
"1593",280032.790239782
"1625",795596.433240538
"1627",873791.164057593
"1628",1308301.47774916
"1630",270222.315094894
"1632",555098.838287923
"1644",220311.02758562
"1653",253368.655571945
"1670",367962.595725294
"1671",760775.332397786
"1673",304248.031973185
"1676",246748.231308722
"1678",196145.369306148
"1679",183305.826398814
"1681",550347.969880809
"1684",504782.729139294
"1686",967713.791944636
"1691",501514.972738085
"1699",366125.531573642
"1700",583376.558085927
"1701",230173.026096647
"1711",319825.548852943
"1727",292502.08287563
"1729",343199.802864875
"1733",1776201.6436511
"1746",640058.127766971
"1748",384419.81725576
"1762",506174.682661301
"1764",1325361.24704726
"1766",440173.214082923
"1770",227947.734778473
"1772",446259.067805635
"1775",205040.204237957
"1777",330529.696927622
"1784",424990.174062391
"1790",396940.922752031
"1792",653898.054730312
"1797",725954.176995044
"1799",517153.356529169
"1802",711807.413976278
"1808",1417464.88680112
"1821",290057.077806106
"1823",383738.40961645
"1838",235318.462936839
"1841",591478.951588435
"1843",673776.638769907
"1848",459442.436555709
"1850",268267.376986735
"1856",511842.489302237
"1857",240325.415660833
"1860",469002.970572745
"1865",297303.934839205
"1869",407696.179692417
"1874",722172.930890649
"1876",352974.581604158
"1878",667348.07076122
"1882",395891.740701063
"1883",865639.179870959
"1884",278860.085760429
"1893",533304.350500731
"1903",536827.924334361
"1905",913811.15580384
"1908",747273.387105995
"1911",420334.501207262
"1920",432642.774753613
"1927",524063.029706788
"1932",943292.080226741
"1939",581519.866412661
"1940",488695.018264947
"1943",273883.019633089
"1949",114675.599837864
"1954",330546.330772374
"1957",153346.278378827
"1967",596942.199864571
"1969",424431.196700015
"1976",354000.462210694
"1982",561124.764614107
"1992",346755.712394798
"1993",526610.59325359
"2000",719031.614340267
"2005",825658.14741973
"2006",417146.535020372
"2023",363037.745545403
"2038",331985.101462616
"2041",1873934.77160038
"2043",392219.70863124
"2046",331245.054491486
"2049",537804.718617441
"2072",950601.821020914
"2076",1592250.69185952
"2080",1087300.65678108
"2085",1071717.69790765
"2088",450698.879246849
"2090",935748.099201408
"2097",430387.299408099
"2103",136614.402998879
"2104",595877.918626828
"2106",281968.478134236
"2107",166855.969176575
"2122",546932.883192096
"2126",1640467.73508534
"2128",221881.707881933
"2129",124523.048107912
"2132",451241.263699644
"2134",451464.863131237
"2136",168356.766016628
"2139",496572.275444747
"2148",332080.480807135
"2151",506710.663021929
"2161",623601.498946001
"2167",199419.908054796
"2170",779692.786875787
"2181",584869.805165477
"2199",465898.536448375
"2201",1519512.0750386
"2209",727611.547863693
"2210",931757.91440038
"2217",311736.61130939
"2223",504023.983123369
"2226",670617.074780503
"2229",161420.704141714
"2230",277878.972753842
"2231",596643.470760328
"2232",574684.202968721
"2239",325250.907438372
"2251",482891.543400242
"2259",543883.400473467
"2260",270744.699416425
"2261",179858.08944482
"2269",428057.143062312
"2270",194403.113168939
"2281",684651.173837811
"2293",225255.631293294
"2296",962363.928649398
"2307",569990.899165433
"2317",734799.373304176
"2318",601865.319380141
"2329",376479.415922494
"2331",235236.174307291
"2333",321024.516047947
"2348",433571.424260119
"2352",735885.267535575
"2353",245517.078413402
"2361",160137.739457843
"2373",271987.955008217
"2374",464471.985384626
"2379",563209.963372056
"2382",144898.223651769
"2383",393218.712097477
"2387",211506.009171235
"2390",1274230.84876486
"2398",297665.310698717
"2411",215685.363711314
"2413",788815.430823274
"2419",225538.375600161
"2427",249019.807381481
"2438",711066.271056933
"2440",482616.380089563
"2445",2393245.90293208
"2448",306152.609331529
"2451",676076.259479853
"2456",1382204.47509725
"2459",751385.045658905
"2465",249470.087760596
"2466",523912.575881428
"2473",442299.195994505
"2478",1054796.15944288
"2480",450036.830658289
"2481",379870.642643711
"2487",825880.309991233
"2492",787380.007980668
"2498",279020.179558671
"2501",587808.536187117
"2507",824421.057755053
"2508",623374.848175602
"2512",328542.894725517
"2515",578021.064404214
"2517",1117126.68604032
"2526",564276.314561996
"2538",525829.702634375
"2543",55802.771300695
"2548",893915.992479325
"2559",723098.541924234
"2561",696737.58700079
"2567",592689.018664277
"2574",382490.567218628
"2576",740558.195752344
"2600",270474.009975503
"2603",351040.517203571
"2608",618477.36409101
"2610",504825.123011366
"2612",212148.806391155
"2616",617297.919909419
"2626",367899.897317772
"2630",630487.713277847
"2638",556720.652578058
"2655",834539.969707616
"2662",201142.327117771
"2670",219865.603673307
"2675",326039.236028546
"2688",296747.394554875
"2690",807499.074850767
"2694",616508.195646196
"2696",641130.829512902
"2697",584652.98127371
"2708",467602.363898346
"2712",297749.469844736
"2718",1406289.12671755
"2720",331998.703167661
"2724",425608.153831382
"2727",901064.600458651
"2729",716435.369100927
"2735",604983.282407128
"2740",635518.760571205
"2744",516821.437899622
"2746",853651.02068103
"2747",514715.525536703
"2752",152534.178007611
"2757",274223.32328438
"2766",405881.677256967
"2768",502278.53383771
"2771",773107.706848606
"2778",303351.801578917
"2780",214576.467821053
"2782",965256.222091496
"2793",630742.830257958
"2800",550486.886783313
"2802",610504.861101689
"2814",136779.198456947
"2817",479551.593686689
"2824",606682.411599026
"2827",233201.817557827
"2839",706984.254147047
"2845",245614.315799086
"2848",684587.847208977
"2850",339089.127888085
"2859",1434083.2913184
"2866",434383.12916322
"2873",354183.124395785
"2874",274690.668502018
"2883",555355.265835199
"2887",522997.128800794
"2894",542197.687891751
"2902",366211.138530826
"2909",556544.800092796
"2918",323891.585935754
"2920",722234.696712749
"2925",450699.986024294
"2929",591688.184359864
"2933",67095.1251572046
"2936",399617.863931723
"2938",235710.779340501
"2939",246808.199310519
"2941",497809.45582109
"2948",201059.472520019
"2951",390816.05922017
"2959",960863.081009204
"2963",335396.626078401
"2969",190475.730995251
"2975",2328728.92944405
"2976",381470.008228807
"2978",505419.947590296
"2980",237196.352806873
"2992",365694.079502467
"2995",789878.967167311
"2997",374636.781977957
"3001",351403.849077012
"3018",556176.963410243
"3020",223140.96212085
"3025",418355.38878853
"3026",342400.887266894
"3031",551069.641769162
"3035",213771.120791452
"3059",650941.654631519
"3071",930131.800616767
"3073",420454.372281707
"3078",65098.1075090228
"3082",311750.320958702
"3088",265715.954837567
"3089",366504.960552795
"3093",288989.358973787
"3096",255639.35517084
"3097",291393.388007401
"3132",840254.05199316
"3142",473097.732433719
"3146",559179.29093319
"3147",264097.327503313
"3151",318058.958380587
"3155",341542.530422163
"3158",1811856.72955883
"3166",462392.199643003
"3171",584691.387136586
"3175",499398.908514119
"3183",511701.382001065
"3186",717917.314922072
"3188",1295724.6335387
"3189",168977.379732942
"3195",758295.537501772
"3206",453070.276380615
"3208",605472.718650329
"3217",675496.506463286
"3221",284740.279256939
"3223",293856.657188808
"3225",395396.719712852
"3227",327633.268531382
"3229",616236.180244853
"3233",509577.713828712
"3237",441739.334284321
"3244",307886.259456613
"3252",560639.509603199
"3253",1739546.96809407
"3257",1580283.00069017
"3259",1411238.20783755
"3267",342521.247153982
"3269",751228.513048109
"3280",567557.824133936
"3282",1822130.93264031
"3294",278424.90150798
"3303",195768.78939143
"3317",345574.200314491
"3318",703860.677308221
"3319",450406.740890447
"3320",934571.67570227
"3321",550763.680995036
"3324",402118.31767951
"3333",54856.4019670603
"3335",517389.400012758
"3342",664211.629635464
"3348",867337.024648943
"3353",865727.695417173
"3366",315011.764724893
"3367",232260.84281067
"3368",472870.908199386
"3370",268106.809473686
"3375",497768.007083643
"3383",815481.856077565
"3386",1006968.36291949
"3388",451892.606679089
"3393",90730.632458088
"3396",414060.845373494
"3402",234471.872823611
"3406",533063.207180135
"3407",790310.197912646
"3408",1348267.01252
"3409",493730.670005326
"3413",358769.915238638
"3414",117459.6069887
"3416",475564.959883304
"3420",383613.083995762
"3423",343949.707121177
"3424",471953.129645441
"3426",433457.002527673
"3428",652952.590196725
"3440",1134655.26820709
"3442",725943.169473146
"3445",95282.8921332386
"3451",379353.667094768
"3456",1022138.71079003
"3459",271759.65710709
"3467",469903.522457747
"3473",269196.356722869
"3475",453094.406154268
"3478",767633.18343083
"3480",136068.338512954
"3482",491638.493833715
"3484",84279.0474369919
"3487",127489.696734698
"3494",15431.4720502687
"3501",1041748.24955281
"3510",549853.183029932
"3513",739051.960149204
"3516",249657.855895305
"3522",665882.547364688
"3525",260179.551357191
"3530",926146.463049041
"3531",480551.252713059
"3541",234226.227663865
"3544",326710.245737792
"3556",306993.31488837
"3564",558038.12189468
"3565",474211.998489368
"3568",301312.913696353
"3570",653050.602658306
"3573",361785.984562747
"3577",277991.826935449
"3581",603830.652543919
"3586",127947.415730962
"3587",1518623.54520607
"3588",362862.558708069
"3601",171121.759912928
"3606",353849.071906218
"3615",590578.784904417
"3617",416761.448594328
"3619",565904.883811801
"3627",515333.125597772
"3629",414988.994320769
"3634",503146.636780106
"3639",59257.5639275945
"3640",165273.956798312
"3643",507872.233926157
"3646",657404.647370093
"3653",740902.620790907
"3663",341090.577998226
"3667",679761.756531845
"3672",522585.512473996
"3684",214970.058492836
"3686",1020164.6649552
"3691",163512.019747575
"3694",838695.060183374
"3695",397509.878859868
"3697",378862.912804664
"3700",605359.631211586
"3703",420601.260388917
"3704",366907.370012201
"3707",188832.335083165
"3720",272881.523707729
"3725",800371.088032297
"3737",278635.863601359
"3747",380002.986269497
"3762",2150704.00486611
"3768",107939.036818219
"3778",1182499.32963676
"3782",856366.69900671
"3784",245168.906315572
"3785",420154.00860239
"3794",190485.29142011
"3798",630449.395952682
"3799",567981.800138164
"3802",676950.569832459
"3807",152103.054309114
"3812",867625.767201626
"3813",787902.823856712
"3814",1856331.70556458
"3821",403668.904515831
"3824",327107.78087408
"3825",862851.18547827
"3831",337901.047205542
"3833",280956.8758295
"3834",484185.59446778
"3839",382721.047625256
"3841",163373.92035675
"3842",669558.663633072
"3852",336698.955078031
"3859",290872.841842344
"3860",508908.498964389
"3868",475070.426523048
"3873",260586.458853447
"3877",542051.362463927
"3878",315179.608080741
"3883",254890.420818609
"3884",531663.605465851
"3885",776456.870751914
"3896",447962.825036888
"3897",327959.221222965
"3910",502693.545374618
"3920",263388.140681853
"3921",643296.702181596
"3932",1069369.16487704
"3938",410016.106282175
"3940",418444.431123207
"3950",847028.523664818
"3953",136087.949522574
"3956",244568.451566545
"3959",1264612.26826394
"3960",498356.674989443
"3963",561337.383201163
"3966",770728.819177708
"3973",457005.1364585
"3977",191267.913184179
"3981",643448.093614889
"3984",772306.715175698
"3985",194286.423327658
"3990",1488846.15986636
"3991",868142.256103883
"3992",422941.655031029
"3994",798261.240210285
"3997",430964.313360765
"3998",871826.132787823
"4004",432636.401616249
"4016",1078341.21859061
"4023",414303.620211991
"4029",926696.201808352
"4043",572848.983085023
"4049",402921.986248001
"4056",791851.376281836
"4061",451943.082520411
"4064",579071.688210626
"4065",396321.959732801
"4072",309846.282850792
"4074",919831.057736266
"4078",1416900.19509696
"4089",701251.040246698
"4091",500363.142930093
"4093",408482.191762339
"4098",245942.206382699
"4105",397344.388466532
"4114",503158.788349112
"4118",300632.151161027
"4121",625672.765712125
"4128",398577.097112831
"4137",814400.533787407
"4141",880170.196215686
"4143",310431.256489228
"4144",512677.388368762
"4147",452565.152529425
"4152",1038270.58538976
"4161",520021.805002662
"4163",510453.17882455
"4164",277286.506022556
"4171",769621.916952515
"4179",799189.448690339
"4185",328048.626325814
"4190",1284787.31728673
"4193",727560.749128048
"4194",425020.797580754
"4196",576315.884616534
"4197",524980.006066708
"4202",577221.70238419
"4204",34723.4630799535
"4208",400592.352898466
"4217",345680.570027385
"4234",738734.861788162
"4235",929725.190070448
"4238",492712.384474894
"4240",480441.674758736
"4243",644001.669262675
"4249",654520.992616806
"4251",941123.645778131
"4253",169983.022605177
"4268",626755.358025376
"4270",240881.15466424
"4272",437483.665628772
"4275",936469.340482574
"4276",1093126.8671466
"4277",203650.576983893
"4280",381075.237429024
"4281",487084.301613625
"4282",515250.258799912
"4288",510273.939133218
"4289",92374.4777267547
"4302",853339.020414632
"4305",462641.766654569
"4314",520842.782096447
"4320",586638.879210712
"4323",409924.805571006
"4332",561615.604384069
"4342",226564.498831798
"4343",287632.480280728
"4354",348769.041971658
"4357",780091.566138292
"4366",619970.056494887
"4367",509070.369130298
"4371",679250.322774404
"4377",285083.023308096
"4380",944729.304311781
"4382",839461.585883442
"4383",559024.240464889
"4389",748068.180128802
"4392",551019.952286135
"4393",245784.240195506
"4394",246876.166957232
"4396",421021.633315628
"4400",1190707.76312537
"4419",821554.605500994
"4423",499964.461457901
"4431",1024527.39260695
"4440",1163475.98071808
"4446",406044.665119547
"4452",505010.982225619
"4453",593614.425788727
"4455",791739.466090581
"4469",1219643.44135776
"4472",597969.016251152
"4476",794087.556154148
"4478",1047341.43254559
"4481",337711.814975913
"4483",424188.190128947
"4490",690472.779309965
"4492",850023.735775625
"4497",269670.695954575
"4506",597644.266298979
"4519",324932.012597642
"4542",562802.741827144
"4545",764249.124138998
"4548",202245.058456129
"4556",832941.20680873
"4557",284040.624883483
"4558",260396.706211647
"4564",166590.396923169
"4572",574356.079615978
"4575",326047.086415827
"4578",486981.155814733
"4579",604789.147189528
"4580",255257.272218296
"4585",388161.345385385
"4589",192814.868544208
"4592",563589.235166407
"4594",813441.055974211
"4598",461555.511428614
"4601",480097.565932547
"4602",511672.299748608
"4603",358606.207202565
"4609",848207.914134083
"4620",564915.390301685
"4624",1473367.37397561
"4633",390276.342121767
"4637",730624.777562045
"4640",437855.832923314
"4641",86240.6547556274
"4644",605742.743449834
"4648",317414.743713217
"4656",576962.163748899
"4665",424580.422755634
"4667",336002.494858508
"4676",696862.874891962
"4677",1214042.91954607
"4694",206433.944553092
"4698",629532.693088689
"4700",1515185.29551859
"4701",644776.752103952
"4706",595986.86098932
"4712",576260.339138168
"4719",717140.987858592
"4723",503565.57906145
"4725",482229.023527148
"4726",396023.597488982
"4727",738954.04754996
"4733",603933.228068471
"4738",335371.402867073
"4739",224906.963741018
"4746",286812.698111839
"4747",196349.635745032
"4751",323043.018102297
"4754",487983.820980622
"4755",429594.663936543
"4756",423274.807009386
"4757",972958.579638913
"4759",838392.545570799
"4762",600024.36585579
"4767",639190.552942607
"4771",145541.442745097
"4777",478104.179160134
"4778",281495.614064038
"4780",849352.744148682
"4788",767570.626785078
"4790",410472.380887998
"4794",660331.450708014
"4797",791430.960267271
"4801",380077.348021301
"4803",216729.936542863
"4804",694392.585164532
"4809",683916.195988773
"4810",207017.094021304
"4815",337465.75238091
"4821",240325.415660833
"4822",678378.974704073
"4824",514796.195495995
"4826",344574.706467938
"4830",252864.618407159
"4833",428062.705903305
"4839",294711.202525186
"4840",442804.985307232
"4848",519987.860381903
"4851",483617.747948735
"4854",970757.899070163
"4857",187946.958290744
"4858",348739.821083314
"4861",653396.577764054
"4864",698930.864125982
"4866",209721.202167513
"4871",360832.034371277
"4876",609825.750172882
"4877",429927.60414045
"4880",821058.298534515
"4884",192430.298070852
"4885",378581.454384494
"4887",428127.740320391
"4889",242777.062955189
"4891",346438.501162908
"4895",268576.867933526
"4903",442347.49206419
"4904",258191.86817849
"4909",900942.047227263
"4914",307991.90294787
"4921",488076.064511235
"4926",189738.903441855
"4945",348402.062838859
"4952",529922.696987927
"4968",1428253.02229291
"4972",220010.010660528
"4974",407455.216222318
"4976",861075.781048581
"4978",757961.168703104
"4984",556111.291363702
"4986",578598.780257025
"4989",579622.223554571
"4990",411262.936613544
"4994",541528.471853413
"4995",649694.870443994
"5003",307983.770783605
"5010",511375.789941671
"5015",617639.861678066
"5017",669049.413059741
"5022",454775.660619636
"5023",454763.17279563
"5025",1513256.85082769
"5027",555860.704809865
"5030",1015586.2787412
"5059",421432.031251041
"5061",460424.575375253
"5070",563765.572101492
"5072",703883.611792658
"5074",675142.49741051
"5077",525660.345088917
"5092",670482.045057828
"5096",505809.569157667
"5098",789757.016836513
"5114",759142.687837566
"5118",1323043.53387402
"5125",176784.460189705
"5127",377295.980119251
"5131",319766.433170276
"5139",657666.833969236
"5142",306085.517544546
"5144",549037.292277903
"5145",729486.877033332
"5146",611981.316532414
"5150",677121.048760249
"5158",127415.993644397
"5159",543255.980515556
"5176",216339.493734814
"5177",226890.090736051
"5178",262984.049640375
"5180",471797.270917292
"5190",220835.353167412
"5191",778382.554663586
"5194",622941.100422143
"5197",537587.376576391
"5208",474624.676895751
"5225",589351.326139279
"5226",354791.597699616
"5227",80028.4685320139
"5228",461565.203970064
"5234",343953.889206474
"5242",720012.981743677
"5249",454842.336519709
"5255",450892.029409086
"5261",277601.383095361
"5265",493182.219441302
"5269",574222.209860785
"5271",663872.421000987
"5274",406499.109327652
"5279",230342.37781861
"5280",398005.100585132
"5294",989131.408733819
"5296",1109377.92814888
"5305",1146218.84595512
"5318",34182.3285298647
"5320",589699.064617756
"5323",660821.442776678
"5325",190424.939744219
"5331",336211.881613113
"5332",691859.932401923
"5333",250215.056655721
"5334",166799.197105457
"5340",301321.943042335
"5342",538174.204808037
"5344",416449.035654867
"5349",653210.747003981
"5351",344254.690916662
"5363",430134.637052876
"5368",475447.833835293
"5370",392300.252561367
"5372",417291.010850705
"5378",627383.644233614
"5387",240928.748935195
"5391",470296.663402763
"5395",293776.91299984
"5398",299031.073489276
"5405",476837.726166293
"5410",475208.352600406
"5413",989906.838938894
"5414",259252.31071251
"5416",792553.430295739
"5424",495539.260575909
"5425",823257.144309375
"5448",582323.044576082
"5449",277791.659504442
"5452",1367320.21559561
"5456",675429.592884362
"5457",563435.02216823
"5471",297402.464754193
"5473",309756.233670758
"5476",176985.157018882
"5479",359097.785676711
"5486",236576.465787014
"5501",570809.626701717
"5502",327949.600774572
"5503",808133.035971947
"5505",844083.774690798
"5508",567252.545227787
"5515",508929.938318172
"5523",661228.753209779
"5525",423799.606774139
"5528",212229.371256306
"5534",539341.706886464
"5537",483072.699343814
"5541",488231.85633651
"5558",537661.22724861
"5564",255395.710114869
"5566",625922.882574191
"5567",648785.400990598
"5578",195186.413210918
"5579",423619.805528038
"5590",1843952.21200906
"5604",370568.491456265
"5607",532725.820562949
"5608",923407.883787057
"5610",530636.825018638
"5615",730753.583106582
"5616",718856.51309307
"5620",765742.350529113
"5626",160341.967499855
"5630",385233.039528326
"5635",527055.894641161
"5638",486244.098068902
"5640",74582.9769019688
"5659",1158328.46165019
"5661",567724.659286681
"5667",1708921.24429932
"5671",523162.683571852
"5680",628380.968407374
"5689",391195.292868125
"5692",272362.450763977
"5693",207746.519974425
"5695",492698.28448739
"5698",494736.71583332
"5700",1022117.96735456
"5704",431853.010327649
"5705",161222.232693432
"5713",487467.066799748
"5715",582723.14964084
"5720",744068.280723208
"5722",233515.379501034
"5727",443594.064858802
"5739",203032.415443843
"5745",524994.881566204
"5758",290305.262091446
"5761",1531440.87267268
"5763",718538.454385101
"5766",716068.365490932
"5767",283261.826387654
"5778",159512.17485122
"5783",643423.002985474
"5790",734309.186263006
"5798",408398.325733287
"5801",653144.75853154
"5809",377056.40608012
"5820",611885.638527699
"5840",138076.50495504
"5849",585442.697075225
"5850",334261.030973659
"5851",1668731.1342158
"5857",85989.9380474057
"5860",951221.668892978
"5864",428167.266426414
"5867",22507.4042350278
"5872",663018.082047098
"5873",599917.603190018
"5878",631101.924141989
"5882",471416.925501449
"5885",431649.619869748
"5886",365404.18681738
"5892",359088.952967985
"5896",353705.856771
"5903",1003602.83315193
"5910",621006.599387984
"5912",1002416.59836558
"5916",901264.877464747
"5917",184120.968243937
"5918",748471.674573516
"5929",583182.882045701
"5931",348275.380763719
"5933",327886.293182455
"5934",120793.398365133
"5943",832367.118652791
"5950",200203.002730658
"5953",439812.993138061
"5956",234688.555869005
"5969",508099.498770556
"5970",294733.818472359
"5977",542892.869464053
"5979",121695.119942583
"5980",271667.05487685
"5991",826345.22312064
"5998",164664.477501183
"6001",368934.133281819
"6002",613560.729275134
"6007",235113.071922563
"6020",701636.695786519
"6022",296675.749706794
"6023",474546.781699454
"6025",644835.059477839
"6026",917722.390692895
"6037",526462.077173449
"6041",170569.595008586
"6046",1566038.74003152
"6050",657108.918036623
"6053",763698.599501066
"6058",639321.515313343
"6060",421975.349623651
"6067",390413.560168906
"6075",265852.284559098
"6081",555289.618342633
"6087",455328.96244179
"6105",271723.990489394
"6124",521488.998401421
"6127",522839.627986925
"6139",307276.278313316
"6142",192412.083841516
"6146",703542.107378732
"6152",476856.060053072
"6154",845313.489101461
"6158",687564.067672699
"6168",689711.468907723
"6174",193695.10265976
"6176",656651.101393014
"6177",387994.111638779
"6178",646694.393693843
"6181",1068721.15993945
"6189",756197.161113736
"6193",467378.318847007
"6196",1732954.86636817
"6197",601264.197680754
"6206",281318.082438004
"6219",199097.017893044
"6238",347170.929866812
"6242",272806.941341779
"6249",337661.559997786
"6250",433674.13107398
"6254",464904.138443238
"6263",1107381.04323305
"6267",315636.216754844
"6270",701912.181224457
"6277",294996.117145465
"6286",1107843.56926062
"6294",114429.534216248
"6296",548992.205497983
"6302",213664.122414346
"6305",822345.034548228
"6312",510445.229265616
"6315",740713.323609745
"6321",242609.927128811
"6322",304314.195919406
"6327",382619.001109834
"6328",820670.577366829
"6332",578666.15156943
"6334",409614.749734073
"6339",742708.656218253
"6352",264633.817259151
"6365",439878.607966416
"6376",386720.464168018
"6386",1166860.03296295
