"","price","sqft_living","grade","sqft_above","bathrooms","sqft_basement","bedrooms","floors","waterfront","howOld","view","sqft_living15","zipcode","yr_renovated"
"233",315000,2940,8,1780,"2.75",1160,"6","1","0",37,0,2120,"98023",0
"237",416000,2220,7,1640,"2",580,"3","1","0",39,0,2070,"98010",0
"254",349500,1400,7,800,"1",600,"3","1","0",62,0,1620,"98118",0
"256",592500,1420,7,1420,"2",0,"2","1.5","0",87,2,1420,"98115",0
"257",385000,2360,7,1180,"1.75",1180,"4","1","0",60,0,1910,"98106",0
"262",237000,1270,7,1270,"1.75",0,"3","1","0",55,0,1600,"98198",0
"266",290000,1700,7,1700,"2.5",0,"4","2","0",27,0,1950,"98031",0
"268",415000,1070,7,1070,"1",0,"2","1","0",78,0,1320,"98115",0
"273",210000,1700,7,1700,"1",0,"3","1","0",48,0,1350,"98003",0
"276",365000,2653,8,2653,"2.5",0,"3","2","0",9,0,2653,"98031",0
"277",450000,2290,8,2290,"2",0,"3","1","0",55,0,1660,"98058",0
"291",389999,1890,7,1890,"2.5",0,"4","2","0",47,0,2410,"98166",0
"296",879000,3360,10,3360,"2.5",0,"4","2","0",21,0,3150,"98075",0
"297",265000,1320,7,1320,"2",0,"3","1","0",22,0,1740,"98042",0
"300",267500,1590,7,1090,"1.75",500,"3","1","0",58,2,1630,"98188",0
"315",1400000,4290,11,2690,"3.25",1600,"4","1","0",18,3,3860,"98006",0
"318",390000,1930,8,1930,"2.5",0,"3","1","0",27,0,2350,"98042",0
"322",520000,2030,8,2030,"2.25",0,"3","2","0",31,0,2660,"98027",0
"324",240000,1510,7,1510,"1.75",0,"3","1","0",46,0,1510,"98023",0
"331",880000,2800,9,1890,"3.5",910,"4","2","0",13,0,2370,"98105",2002
"335",940000,2490,9,2490,"2",0,"4","2","0",47,0,2770,"98040",0
"337",559900,2930,9,1860,"2.75",1070,"3","1","0",11,0,2580,"98072",0
"341",485000,2560,7,2560,"1.75",0,"4","2","0",53,0,2560,"98052",0
"345",552250,2580,8,2580,"2.5",0,"4","2","0",13,0,2380,"98065",0
"346",165000,1000,6,1000,"1",0,"4","1","0",72,0,1020,"98178",0
"348",320000,1070,6,1070,"1",0,"2","1","0",85,0,1360,"98059",0
"351",299000,560,4,560,"0.75",0,"1","1","0",48,0,1300,"98014",0
"358",420000,1750,7,1750,"1",0,"4","1.5","0",61,0,1750,"98006",0
"360",679900,2440,9,1980,"2.5",460,"3","2","0",15,2,1520,"98116",0
"369",785000,2440,8,1910,"2.75",530,"4","1","0",26,0,2770,"98075",0
"383",389000,2130,7,2130,"2.25",0,"4","2","0",14,0,2300,"98019",0
"384",560000,2550,8,1580,"2.25",970,"4","1","0",47,0,2420,"98052",0
"386",799000,2510,8,2510,"2.25",0,"4","2","0",46,0,2450,"98040",0
"392",490000,1980,9,1980,"2.75",0,"3","2","0",36,0,1950,"98008",0
"393",330000,1600,8,1600,"2.5",0,"3","2","0",10,0,1790,"98019",0
"395",1118000,3840,10,3840,"2.5",0,"4","2","0",32,1,3600,"98040",0
"397",530000,2720,7,1500,"2.25",1220,"5","1","0",57,0,2110,"98008",0
"400",269900,1530,7,1530,"1.75",0,"4","1.5","0",47,0,1390,"98058",0
"406",650000,1510,9,1330,"3.25",180,"3","2","0",14,0,1510,"98116",0
"407",450000,1290,8,1290,"2",0,"3","3","0",14,0,1290,"98103",0
"408",278500,1570,7,1570,"2",0,"3","1","0",17,0,1570,"98092",0
"415",339000,2390,7,2390,"1.5",0,"4","1.5","0",95,2,2850,"98178",0
"423",538000,2250,8,2250,"2.5",0,"3","2","0",27,0,2360,"98056",0
"426",245000,1530,7,1030,"2.5",500,"3","1","0",19,0,1850,"98038",0
"429",397000,1440,7,1200,"2",240,"4","1","0",44,0,1460,"98034",0
"432",988000,4040,11,4040,"3",0,"4","2","0",28,0,3930,"98052",0
"437",722500,4870,10,3470,"2.5",1400,"5","2","0",32,0,3180,"98074",0
"441",227950,1670,7,1670,"1.5",0,"3","1","0",61,0,2077,"98001",0
"451",1450000,3970,10,3260,"4.5",710,"3","2","0",16,2,2610,"98034",1999
"457",496500,2260,8,2260,"2.5",0,"3","2","0",21,0,2350,"98072",0
"464",359500,2390,9,2390,"2.25",0,"4","2","0",27,0,2480,"98023",0
"465",330000,980,6,980,"1",0,"3","1","0",62,0,1220,"98133",0
"468",325000,1850,8,1850,"2.5",0,"4","2","0",18,0,2100,"98042",0
"469",340500,2270,7,1920,"2",350,"3","1","0",68,0,1770,"98168",0
"474",1150000,4190,11,3150,"3.25",1040,"4","2","0",15,0,4300,"98074",0
"481",378500,1700,7,850,"1.75",850,"4","1","0",60,0,1620,"98006",0
"489",699900,2810,9,2810,"2.75",0,"4","2","0",13,0,2820,"98075",0
"492",370000,1680,7,1680,"2",0,"3","1","0",28,1,1680,"98055",0
"496",490000,1230,8,870,"2.5",360,"2","2","0",11,0,1240,"98112",0
"497",725000,2110,9,1710,"2",400,"4","2","0",12,0,1440,"98116",2003
"500",437500,2120,7,2120,"2.5",0,"3","2","0",15,0,2530,"98065",0
"509",615000,1540,7,820,"1",720,"2","1","0",69,0,1420,"98119",0
"511",585000,2430,8,1580,"1.75",850,"4","1","0",34,0,1980,"98052",0
"513",1095000,4410,9,4410,"3.5",0,"5","2","0",25,0,2900,"98053",0
"521",288000,1190,6,1190,"1",0,"3","1","0",57,0,1190,"98058",0
"525",275000,940,6,940,"1",0,"2","1","0",64,0,940,"98126",0
"526",727500,1240,7,1240,"2",0,"2","1","0",63,0,1380,"98004",0
"531",270500,1780,7,1320,"2.5",460,"3","1","0",37,0,1680,"98038",0
"532",2e+05,1360,7,1360,"1.5",0,"2","2","0",37,0,1360,"98092",0
"546",910000,3350,11,3350,"2.5",0,"4","2","0",27,0,3920,"98052",0
"547",782000,2380,10,2380,"2.5",0,"4","2","0",24,0,2560,"98006",0
"559",750000,2750,8,2750,"1.75",0,"6","2","0",42,0,2040,"98052",0
"574",650000,2550,8,2550,"2.75",0,"5","1.5","0",113,0,1590,"98122",0
"581",619000,2720,9,2720,"2.5",0,"3","2","0",10,0,3180,"98065",0
"587",640000,2160,8,1960,"2.5",200,"3","1.5","0",2,0,2160,"98122",2013
"591",505000,1830,7,1010,"1.5",820,"3","1","0",34,0,2450,"98053",0
"593",290000,1610,8,1610,"2.5",0,"3","2","0",9,0,1610,"98055",0
"595",360000,1840,7,1840,"2.5",0,"4","2","0",19,0,1830,"98178",0
"596",240500,1460,7,990,"1.75",470,"3","1","0",18,0,1220,"98168",0
"599",515000,3590,9,3590,"3",0,"4","2","0",18,0,2860,"98023",0
"619",175000,1250,7,1250,"1",0,"3","1","0",44,0,1390,"98045",0
"630",480000,3250,9,3250,"2.25",0,"4","2","0",32,0,3110,"98042",0
"635",542000,890,7,770,"1",120,"2","1","0",105,0,1760,"98105",0
"636",415000,1070,7,1070,"1.75",0,"3","1","0",38,0,1200,"98052",0
"639",314500,2050,8,2050,"2",0,"3","1","0",22,0,2180,"98003",0
"640",1120000,3000,9,2000,"1.5",1000,"3","2","0",91,0,1820,"98116",0
"642",305000,2250,7,1340,"2.5",910,"4","1","0",33,0,1540,"98001",0
"654",597500,2150,7,1380,"2",770,"3","1.5","0",104,0,1940,"98126",0
"657",3070000,3930,8,2330,"2.5",1600,"3","1","1",58,4,2730,"98034",0
"660",888000,1250,7,1250,"1.5",0,"3","1","0",62,0,1750,"98004",0
"677",280000,1010,7,1010,"1",0,"2","1","0",90,0,1150,"98045",0
"680",1145000,4370,11,4370,"3.5",0,"4","2","0",14,0,4190,"98065",0
"682",799000,2580,8,2580,"3",0,"4","2","0",31,0,3440,"98053",0
"683",609900,3190,10,3190,"2.5",0,"4","2","0",9,0,3250,"98038",0
"703",480000,2180,6,1730,"2",450,"4","1","0",65,0,2180,"98005",0
"712",243000,1450,7,1450,"1.75",0,"3","1","0",34,0,1210,"98001",0
"717",405500,1010,7,1010,"1.5",0,"3","1","0",61,0,1300,"98155",0
"721",289950,1670,7,1670,"2.5",0,"3","2","0",13,0,2390,"98038",0
"723",1578000,4670,12,4670,"3.25",0,"4","2","0",27,0,4230,"98005",0
"739",1300000,3400,9,2290,"3.25",1110,"3","2","0",78,0,3090,"98105",0
"745",395000,1500,6,900,"1",600,"3","1","0",90,0,950,"98117",0
"757",942500,3750,9,2030,"3.5",1720,"5","1","0",34,2,3270,"98006",0
"758",1310000,3950,10,2910,"2.25",1040,"2","2","0",24,4,3220,"98116",0
"759",856600,2400,9,2400,"2.25",0,"4","1","0",51,0,2580,"98005",0
"760",405600,2830,8,2830,"1.5",0,"5","2.5","0",97,0,1480,"98118",0
"778",493000,1910,7,1060,"2",850,"4","1","0",105,0,1520,"98122",0
"782",4e+05,1590,6,970,"1.75",620,"3","1.5","0",77,0,2030,"98034",0
"785",650000,3610,8,3610,"2.75",0,"6","1.5","0",49,0,2560,"98008",0
"792",675000,2810,9,2810,"2.5",0,"4","2","0",33,0,3100,"98074",0
"793",1355000,3550,11,2260,"3.5",1290,"4","1","0",16,2,4100,"98006",0
"803",422120,1630,8,1630,"2.5",0,"3","2","0",28,0,1380,"98034",0
"806",5e+05,1690,8,1690,"2.25",0,"3","2","0",26,0,1800,"98029",0
"817",310000,1150,7,1150,"1.5",0,"3","2","0",27,0,1150,"98029",0
"820",246500,1430,7,1430,"2",0,"3","1","0",23,0,1580,"98022",0
"826",226000,970,6,970,"1",0,"3","1","0",47,0,1290,"98118",0
"841",282000,1660,7,960,"1.75",700,"4","1","0",59,0,1340,"98168",0
"842",320000,1340,7,940,"1",400,"3","1","0",28,0,1020,"98133",0
"843",428750,1620,7,1620,"1",0,"3","1.5","0",38,0,2440,"98006",1977
"847",664000,1530,7,1530,"2",0,"4","1.5","0",103,0,1860,"98105",0
"850",254000,2070,7,1450,"2",620,"3","1","0",46,0,1630,"98023",0
"851",535800,1900,8,1900,"2.5",0,"4","2","0",21,0,2030,"98029",0
"854",450000,2390,7,1750,"1.75",640,"4","1","0",66,0,1840,"98028",0
"865",280000,2050,8,2050,"2.5",0,"4","2","0",25,0,2050,"98092",0
"867",467000,3460,7,3460,"2.5",0,"3","2","0",14,0,2490,"98056",0
"868",457500,1500,8,1500,"2.5",0,"3","2","0",19,0,1730,"98029",0
"886",1270000,3200,7,2160,"2.5",1040,"5","1","0",63,0,4090,"98004",0
"902",8e+05,2570,10,2570,"2.5",0,"4","1.5","0",22,0,3420,"98077",0
"904",2e+05,1010,8,950,"1.5",60,"1","2","0",8,0,1360,"98126",0
"906",530000,1250,7,1250,"1.75",0,"3","1.5","0",73,0,1180,"98115",0
"911",234000,1420,7,1420,"1.75",0,"3","1","0",49,0,1660,"98002",0
"913",205000,1410,7,1410,"2",0,"3","1","0",30,0,1410,"98001",0
"914",384000,2100,7,1050,"1.75",1050,"4","1","0",60,0,1730,"98106",0
"917",570000,1570,8,1260,"3.25",310,"3","2","0",8,0,1000,"98107",0
"921",250000,1440,7,1440,"2",0,"3","1","0",50,0,1390,"98198",0
"934",299900,1560,7,1290,"2.25",270,"3","1","0",30,0,1660,"98092",0
"935",891000,2330,7,1720,"2",610,"4","1.5","0",90,0,2090,"98117",0
"936",1200000,3660,9,1830,"2",1830,"3","1","0",68,3,2680,"98117",0
"939",253000,2020,7,1310,"2.5",710,"3","1","0",21,0,1710,"98042",0
"961",650000,2208,8,2208,"2",0,"4","3","0",98,0,1760,"98116",0
"962",385000,1010,7,1010,"2",0,"3","1","0",33,0,1650,"98074",0
"963",425000,970,7,970,"1",0,"2","1","0",105,0,1670,"98102",0
"968",582800,2550,8,1440,"2.75",1110,"4","1","0",29,0,2290,"98074",0
"971",532500,1330,7,1210,"1.75",120,"3","2","0",106,0,1500,"98116",0
"974",524250,1710,8,1710,"2.5",0,"3","2","0",16,0,2120,"98029",0
"986",535000,1360,7,1310,"2.5",50,"3","3","0",12,0,1365,"98115",0
"991",640000,2060,8,2060,"1.75",0,"4","1","0",55,0,2260,"98005",0
"992",585000,2160,8,1660,"2.5",500,"4","1","0",63,0,1520,"98115",0
"1009",540000,2000,8,2000,"2.25",0,"3","2","0",19,0,2220,"98024",0
"1010",280300,920,6,490,"1",430,"2","1","0",66,0,1500,"98103",0
"1019",283000,1480,6,1480,"1.5",0,"4","1","0",73,0,1530,"98168",0
"1020",321500,1930,8,1930,"2.5",0,"4","2","0",15,0,1930,"98030",0
"1021",840000,3130,10,3130,"2.75",0,"4","2","0",22,0,3330,"98077",0
"1025",446450,1480,7,1480,"1.5",0,"3","1","0",55,0,1140,"98126",0
"1040",566000,1560,8,1560,"2.5",0,"3","2","0",16,0,2170,"98075",0
"1043",512031,1540,7,770,"1.75",770,"3","1","0",95,2,1420,"98117",0
"1044",197500,820,6,820,"1",0,"2","1","0",65,0,1660,"98055",0
"1047",465000,2210,8,1270,"2.25",940,"4","1","0",38,0,2030,"98011",0
"1056",935000,5670,11,5670,"4.5",0,"4","2","0",7,2,4100,"98010",0
"1059",528000,1910,8,1280,"2.25",630,"4","1","0",55,0,1860,"98125",0
"1060",425000,1560,8,1560,"1.75",0,"3","1","0",41,0,2200,"98056",0
"1061",249500,1500,7,1500,"1.75",0,"2","1","0",52,0,1220,"98042",0
"1072",360000,1050,7,1050,"1",0,"3","1.5","0",61,0,1380,"98125",0
"1078",356700,1090,7,730,"1",360,"2","1","0",73,0,990,"98126",0
"1091",837700,3010,10,3010,"2.75",0,"5","2","0",21,0,2890,"98052",0
"1092",448000,1530,7,1530,"2.25",0,"3","2","0",12,0,1560,"98053",0
"1100",151000,720,5,720,"1",0,"2","1","0",73,0,860,"98056",0
"1102",631000,2270,7,2270,"2",0,"5","2","0",110,0,1320,"98122",0
"1103",285000,1380,7,1140,"2.5",240,"2","2","0",4,0,1580,"98126",0
"1104",195000,1260,6,840,"1",420,"3","1","0",38,0,1140,"98023",1977
"1113",350900,2540,9,2540,"2.5",0,"4","2","0",23,0,2410,"98030",0
"1120",552500,3710,8,2290,"3.5",1420,"4","2","0",13,0,1720,"98056",0
"1121",224500,1430,7,1430,"1",0,"4","1.5","0",32,0,1550,"98092",0
"1122",239000,940,6,940,"1",0,"3","1","0",65,0,1100,"98146",0
"1127",170000,1480,6,780,"1",700,"3","1","0",71,0,760,"98106",0
"1130",369000,2550,7,1560,"1.5",990,"5","1","0",56,0,1380,"98056",0
"1140",605000,2570,9,2570,"2.5",0,"3","2","0",26,3,2490,"98011",0
"1145",225500,1440,6,1440,"2",0,"4","1","0",53,0,1530,"98058",0
"1149",725000,1940,7,1940,"2.5",0,"3","1.5","0",109,0,1440,"98109",0
"1151",492000,880,7,880,"1",0,"2","1","0",88,0,1370,"98103",0
"1154",298900,1830,8,1830,"2.5",0,"3","2","0",21,0,1860,"98092",0
"1157",350000,1010,7,1010,"1.75",0,"3","1","0",54,0,1500,"98033",0
"1158",790000,2460,7,1410,"1.75",1050,"4","1","1",54,4,2300,"98178",0
"1159",305000,2230,8,2230,"2.5",0,"4","2","0",12,0,2230,"98031",0
"1165",5110800,8010,12,5990,"5.25",2020,"5","2","1",16,4,3430,"98033",0
"1180",749950,2910,9,2210,"2.75",700,"4","1","0",20,0,2420,"98177",1995
"1182",535000,1330,7,1330,"1",0,"3","1","0",38,0,1710,"98024",0
"1188",545000,2930,8,1680,"2",1250,"2","1","0",35,2,2234,"98070",0
"1190",334950,1620,8,1620,"2.5",0,"3","2","0",13,0,1900,"98058",0
"1198",361000,1150,7,1150,"1.75",0,"3","1","0",51,0,1200,"98014",0
"1206",525000,1580,8,1160,"2.25",420,"4","1","0",42,0,2020,"98027",0
"1209",949000,2490,8,1240,"1.75",1250,"4","1","0",57,3,3210,"98033",0
"1214",245000,1600,7,1600,"2.5",0,"3","2","0",12,0,1520,"98038",0
"1216",455000,2090,8,2090,"2.5",0,"3","2","0",26,0,2090,"98011",0
"1221",475000,3660,10,2660,"3.5",1000,"4","2","0",21,0,2780,"98023",0
"1222",330000,2180,7,1190,"2.5",990,"4","1","0",43,0,2070,"98011",0
"1226",365000,1570,7,800,"2.5",770,"4","1","0",43,0,1340,"98155",0
"1229",680000,3000,8,2400,"3.5",600,"6","2","0",46,2,1720,"98118",0
"1233",350000,2530,8,2530,"2.5",0,"4","2","0",17,0,2330,"98042",0
"1237",270000,1800,6,1470,"1.75",330,"3","1","0",31,0,1440,"98030",0
"1238",438000,1650,7,1650,"1.75",0,"3","1","0",54,0,2830,"98028",0
"1239",659000,1980,8,1980,"2",0,"4","2","0",31,0,2300,"98072",1984
"1241",685100,2790,9,2790,"2.5",0,"4","2","0",16,0,2450,"98074",0
"1245",880000,3030,9,3030,"2.5",0,"4","3","0",10,0,1080,"98117",0
"1253",399000,2620,8,1420,"2",1200,"5","1","0",50,0,1360,"98133",0
"1261",609000,2150,9,2150,"2.5",0,"4","2","0",30,0,2450,"98052",0
"1265",390000,2500,8,1770,"2.5",730,"3","1","0",29,0,2670,"98092",0
"1266",467000,1690,7,1690,"2.5",0,"3","2","0",11,0,2120,"98053",0
"1267",484000,3300,8,2060,"2.5",1240,"6","1","0",35,0,2060,"98059",0
"1269",302495,2200,8,2200,"2.5",0,"3","2","0",21,0,2250,"98030",0
"1280",403000,1700,7,1700,"2.5",0,"3","2","0",11,0,1970,"98065",0
"1284",371025,1530,7,1530,"2",0,"3","1","0",38,0,2040,"98011",0
"1288",364808,2320,8,1620,"1.75",700,"3","1","0",48,0,1990,"98058",0
"1291",350000,2470,8,2230,"2.25",240,"3","2","0",31,0,1970,"98058",0
"1304",360000,1570,7,1570,"1",0,"3","1","0",61,0,1570,"98177",0
"1307",847000,3010,8,3010,"2.5",0,"6","2","0",46,0,2560,"98177",0
"1314",255000,1180,7,1180,"1",0,"3","1","0",48,0,1460,"98058",0
"1315",530000,2950,7,2950,"2.5",0,"4","2","0",9,0,2120,"98059",0
"1324",267500,1600,7,1600,"1.5",0,"3","1","0",52,0,1710,"98030",0
"1327",625000,1810,8,1440,"3.5",370,"3","2","0",6,0,1480,"98122",0
"1337",647500,1290,7,1290,"1.75",0,"3","1","0",99,0,2020,"98144",0
"1350",450000,2000,7,1250,"1",750,"4","1.5","0",29,0,1140,"98118",1986
"1354",461000,1850,7,1150,"2.25",700,"3","1","0",38,0,1780,"98033",0
"1356",1075000,3280,10,1680,"2.5",1600,"3","1","0",45,0,1550,"98115",0
"1358",690000,2820,9,2820,"2.5",0,"4","2","0",25,0,2820,"98074",0
"1360",549000,2000,8,1120,"1.75",880,"3","1","0",64,0,2140,"98117",0
"1362",2200000,4640,8,2860,"4.25",1780,"5","2","1",63,4,3140,"98052",0
"1371",260000,1120,6,1120,"1",0,"2","1","0",71,0,1270,"98178",0
"1373",330000,2380,8,2380,"2.25",0,"4","2","0",31,0,2030,"98022",0
"1376",320000,1560,6,910,"1",650,"3","1","0",67,0,1200,"98155",0
"1380",520000,2680,8,2040,"3.5",640,"4","2","0",1,0,1530,"98125",2014
"1393",325000,1130,7,1130,"1",0,"2","1","0",60,0,860,"98146",0
"1395",519900,2403,9,2403,"2.5",0,"4","2","0",16,0,2380,"98028",0
"1401",292000,2060,8,2060,"2.5",0,"4","2","0",15,0,2242,"98030",0
"1402",253000,1250,7,1250,"1.75",0,"3","1","0",21,0,1980,"98010",0
"1414",585444,2740,7,1640,"3.75",1100,"6","1","0",53,2,1940,"98144",0
"1419",530000,1500,7,1050,"1",450,"3","1.5","0",88,0,1500,"98126",0
"1420",350000,1430,7,1130,"1.5",300,"3","1","0",67,0,1490,"98133",0
"1421",1700000,3190,10,3190,"3.75",0,"4","2","1",16,4,2290,"98178",0
"1422",389000,1280,7,1280,"1",0,"3","1","0",47,0,1300,"98072",0
"1432",715000,1760,7,1160,"2",600,"3","1","0",88,0,1640,"98103",0
"1436",290000,1990,7,1870,"1.75",120,"4","2","0",86,0,1710,"98168",0
"1447",566000,2090,9,2090,"2.5",0,"3","2","0",11,0,2520,"98052",0
"1448",290000,1500,7,1210,"2.25",290,"3","1","0",47,0,1480,"98055",0
"1449",5350000,8000,12,6720,"5",1280,"5","2","0",6,4,4600,"98004",0
"1454",235867,1330,5,1330,"2",0,"4","1","0",73,0,1150,"98056",0
"1456",382000,1800,7,1800,"2.25",0,"3","2","0",20,0,1760,"98019",0
"1472",1328000,3340,9,2120,"3",1220,"5","1","0",25,2,3290,"98040",1990
"1490",532000,1910,8,1430,"2.25",480,"3","1","0",38,0,2340,"98027",0
"1496",495000,2460,8,2460,"2.5",0,"4","2","0",11,0,2900,"98028",0
"1512",390000,1320,8,1320,"1.75",0,"3","1","0",37,0,2020,"98058",0
"1515",432900,2210,8,2210,"2.5",0,"3","2","0",17,0,2430,"98045",0
"1516",621138,2180,9,2180,"2.25",0,"3","2","0",29,0,2300,"98074",0
"1517",270000,2080,7,1550,"2.25",530,"3","1.5","0",12,0,2080,"98042",0
"1528",713000,2580,8,1720,"2.75",860,"5","2","0",48,2,2240,"98007",0
"1540",1300000,6563,10,5153,"3.5",1410,"6","2","0",13,0,2610,"98005",0
"1543",375000,1230,7,830,"1",400,"2","2","0",67,0,1660,"98107",0
"1550",450000,1640,7,820,"1.75",820,"4","1","0",103,0,1420,"98105",0
"1554",299000,1820,7,1220,"2.5",600,"4","1","0",40,0,1840,"98058",0
"1560",720000,1590,8,1310,"1.5",280,"3","1","0",63,2,2080,"98136",0
"1563",602500,3090,10,2250,"2.5",840,"2","1","0",36,0,1860,"98058",0
"1577",140000,1060,7,1060,"1",0,"3","1","0",56,0,1320,"98198",0
"1579",440000,1610,7,1610,"1",0,"3","1.5","0",42,0,1200,"98103",1973
"1580",605000,2330,7,1630,"1.75",700,"3","1.5","0",75,0,1600,"98126",0
"1581",380000,1210,8,1060,"1",150,"2","1","0",65,0,1380,"98108",0
"1586",3e+05,1500,6,1500,"1.5",0,"3","1.5","0",82,0,1270,"98168",0
"1587",1150000,4740,11,4740,"3.25",0,"4","2","0",25,0,4800,"98053",0
"1592",475000,1420,7,1420,"1",0,"4","1.5","0",65,0,1420,"98115",0
"1593",372500,1550,7,1210,"1.75",340,"3","1","0",27,0,1630,"98045",0
"1625",750000,3010,10,3010,"2.75",0,"3","2","0",14,2,1580,"98045",0
"1627",169317,790,7,790,"1",0,"2","1","0",107,2,1700,"98112",0
"1628",1198000,3400,10,2790,"3.5",610,"4","2.5","0",7,0,2030,"98112",0
"1630",210000,930,6,930,"1",0,"1","1","0",67,0,1300,"98133",0
"1632",540000,1990,9,1990,"2",0,"4","2","0",31,0,2310,"98074",0
"1644",238000,1650,7,1650,"2.5",0,"3","2","0",11,0,1460,"98055",0
"1653",231500,1200,7,1200,"1",0,"2","1","0",74,0,1200,"98168",0
"1670",396000,2340,6,1200,"1.75",1140,"3","1","0",74,0,860,"98106",0
"1671",635000,2820,7,2820,"1.5",0,"4","2","0",104,0,1470,"98103",0
"1673",339000,2090,7,1290,"2.25",800,"3","1","0",36,0,1820,"98058",0
"1676",224000,1600,7,1600,"1.5",0,"4","1","0",56,0,1540,"98002",0
"1678",165050,1200,7,1200,"1",0,"3","1","0",56,0,1210,"98022",0
"1679",275000,1230,7,1230,"1.25",0,"3","1.5","0",102,0,1310,"98118",0
"1681",510000,2370,8,1930,"2.25",440,"3","1","0",37,0,2900,"98077",0
"1684",460000,2350,8,1390,"2.25",960,"3","1","0",38,0,2250,"98028",0
"1686",874150,3530,10,2570,"3.5",960,"4","2","0",28,1,3170,"98034",0
"1691",576000,2440,8,2440,"2.5",0,"4","2","0",13,0,2480,"98028",0
"1699",340000,1230,7,1230,"1",0,"4","1.5","0",52,0,1490,"98034",0
"1700",561000,2000,7,2000,"2",0,"3","2","0",29,0,1840,"98136",1986
"1701",270000,1520,7,1160,"2.25",360,"3","1","0",27,0,1530,"98038",0
